"Time","Hero","X Pos.","Y Pos.","Type","Visible to"
"-1.50","Puck","74","75","normal","Radiant only"
"-1.50","Keeper of the Light","74","74","normal","Radiant only"
"-1.50","Lycan","72","75","normal","Radiant only"
"-1.50","Morphling","73","74","normal","Radiant only"
"-1.50","Io","72","74","normal","Radiant only"
"-1.45","Puck","77","79","normal","Radiant only"
"-1.45","Keeper of the Light","76","78","normal","Radiant only"
"-1.45","Lycan","74","79","normal","Radiant only"
"-1.45","Morphling","74","77","normal","Radiant only"
"-1.45","Io","75","76","normal","Radiant only"
"-1.40","Puck","81","80","normal","Radiant only"
"-1.40","Keeper of the Light","78","80","normal","Radiant only"
"-1.40","Lycan","74","79","normal","Radiant only"
"-1.40","Morphling","74","77","normal","Radiant only"
"-1.40","Io","75","78","normal","Radiant only"
"-1.35","Puck","87","81","normal","Radiant only"
"-1.35","Keeper of the Light","77","80","normal","Radiant only"
"-1.35","Lycan","73","77","normal","Radiant only"
"-1.35","Morphling","75","78","normal","Radiant only"
"-1.35","Io","79","81","normal","Radiant only"
"-1.30","Puck","91","87","normal","Radiant only"
"-1.30","Keeper of the Light","78","80","normal","Radiant only"
"-1.30","Lycan","74","77","normal","Radiant only"
"-1.30","Morphling","80","81","normal","Radiant only"
"-1.30","Io","92","91","normal","Radiant only"
"-1.25","Puck","96","85","normal","Radiant only"
"-1.25","Keeper of the Light","85","82","normal","Radiant only"
"-1.25","Lycan","76","78","normal","Radiant only"
"-1.25","Morphling","85","85","normal","Radiant only"
"-1.25","Io","97","97","normal","Radiant only"
"-1.20","Puck","103","82","normal","Radiant only"
"-1.20","Keeper of the Light","89","85","normal","Radiant only"
"-1.20","Lycan","75","80","normal","Radiant only"
"-1.20","Morphling","88","86","normal","Radiant only"
"-1.20","Io","104","99","normal","Radiant only"
"-1.15","Puck","109","81","normal","Radiant only"
"-1.15","Keeper of the Light","91","86","normal","Radiant only"
"-1.15","Lycan","75","78","normal","Radiant only"
"-1.15","Morphling","92","91","normal","Radiant only"
"-1.15","Io","110","100","normal","Radiant only"
"-1.10","Puck","116","80","normal","Radiant only"
"-1.10","Keeper of the Light","86","91","normal","Radiant only"
"-1.10","Lycan","75","78","normal","Radiant only"
"-1.10","Morphling","97","96","normal","Radiant only"
"-1.10","Io","128","107","normal","Radiant only"
"-1.05","Puck","120","84","normal","Radiant only"
"-1.05","Keeper of the Light","81","96","normal","Radiant only"
"-1.05","Lycan","77","79","normal","Radiant only"
"-1.05","Morphling","103","99","normal","Radiant only"
"-1.05","Io","136","108","normal","Radiant only"
"-1.00","Puck","124","90","normal","Radiant only"
"-1.00","Keeper of the Light","79","103","normal","Radiant only"
"-1.00","Lycan","80","80","normal","Radiant only"
"-1.00","Morphling","109","100","normal","Radiant only"
"-1.00","Io","140","109","normal","Radiant only"
"-0.95","Puck","130","94","normal","Radiant only"
"-0.95","Keeper of the Light","79","111","normal","Radiant only"
"-0.95","Lycan","85","85","normal","Radiant only"
"-0.95","Morphling","114","100","normal","Radiant only"
"-0.95","Io","136","109","normal","Radiant only"
"-0.90","Puck","135","95","normal","Radiant only"
"-0.90","Keeper of the Light","78","118","normal","Radiant only"
"-0.90","Lycan","85","85","normal","Radiant only"
"-0.90","Morphling","120","97","normal","Radiant only"
"-0.90","Io","130","107","normal","Radiant only"
"-0.85","Puck","141","94","normal","Radiant only"
"-0.85","Keeper of the Light","78","125","normal","Radiant only"
"-0.85","Lycan","81","82","normal","Radiant only"
"-0.85","Morphling","117","98","normal","Radiant only"
"-0.85","Io","118","99","normal","Radiant only"
"-0.80","Puck","143","90","normal","Radiant only"
"-0.80","Keeper of the Light","79","133","normal","Radiant only"
"-0.80","Lycan","75","79","normal","Radiant only"
"-0.80","Morphling","117","102","normal","Radiant only"
"-0.80","Io","115","100","normal","Radiant only"
"-0.75","Keeper of the Light","81","140","normal","Radiant only"
"-0.75","Lycan","76","78","normal","Radiant only"
"-0.75","Morphling","116","102","normal","Radiant only"
"-0.75","Io","112","101","normal","Radiant only"
"-0.70","Puck","133","96","normal","Radiant only"
"-0.70","Keeper of the Light","80","146","normal","Radiant only"
"-0.70","Lycan","75","82","normal","Radiant only"
"-0.70","Morphling","122","101","normal","Radiant only"
"-0.70","Io","112","101","normal","Radiant only"
"-0.65","Keeper of the Light","81","154","normal","Radiant only"
"-0.65","Lycan","76","89","normal","Radiant only"
"-0.65","Morphling","123","103","normal","Radiant only"
"-0.65","Io","120","101","normal","Radiant only"
"-0.60","Keeper of the Light","87","157","normal","Radiant only"
"-0.60","Lycan","76","96","normal","Radiant only"
"-0.60","Morphling","116","100","normal","Radiant only"
"-0.60","Io","112","100","normal","Radiant only"
"-0.55","Keeper of the Light","94","159","normal","Radiant only"
"-0.55","Lycan","77","102","normal","Radiant only"
"-0.55","Morphling","108","100","normal","Radiant only"
"-0.55","Io","104","99","normal","Radiant only"
"-0.50","Puck","120","80","normal","Radiant only"
"-0.50","Keeper of the Light","92","160","normal","Radiant only"
"-0.50","Lycan","77","102","normal","Radiant only"
"-0.50","Morphling","100","99","normal","Radiant only"
"-0.50","Io","96","96","normal","Radiant only"
"-0.45","Puck","126","81","normal","Radiant only"
"-0.45","Keeper of the Light","89","158","normal","Radiant only"
"-0.45","Lycan","77","102","normal","Radiant only"
"-0.45","Morphling","94","97","normal","Radiant only"
"-0.45","Io","90","94","normal","Radiant only"
"-0.40","Puck","128","85","normal","Radiant only"
"-0.40","Keeper of the Light","82","155","normal","Radiant only"
"-0.40","Lycan","77","102","normal","Radiant only"
"-0.40","Morphling","88","92","normal","Radiant only"
"-0.40","Io","84","89","normal","Radiant only"
"-0.35","Puck","127","86","normal","Radiant only"
"-0.35","Keeper of the Light","84","150","normal","Radiant only"
"-0.35","Lycan","77","102","normal","Radiant only"
"-0.35","Morphling","85","92","normal","Radiant only"
"-0.35","Io","78","86","normal","Radiant only"
"-0.30","Puck","130","87","normal","Radiant only"
"-0.30","Keeper of the Light","91","149","normal","Radiant only"
"-0.30","Lycan","77","102","normal","Radiant only"
