team,player,hero,net,kills,deaths,assists,dmg,dmgTaken,heals,stuns,slows,kdr
DK,Mushi,Puck,3,7,4,27,14285,8865,0,9.75,0,1.8
DK,LaNm,Keeper of the Light,-3,1,4,11,5689,7375,2316,0,0,0.3
DK,iceiceice,Lycan,3,5,2,19,9838,9923,0,0,0,2.5
DK,BurNIng,Morphling,14,15,1,15,27129,13637,0,5.65,21,15
DK,MMY,Io,-8,1,9,22,4489,10934,304,0,6.75,0.1
EG,ppd,Dazzle,-7,1,8,17,2754,11847,4614,0.13,154.5,0.1
EG,Eternal Envy,Lone Druid,0,4,4,15,12013,14592,0,0,0,1
EG,Universe,Natures Prophet,-4,3,7,14,13105,12172,0,0,0,0.4
EG,zai,Enigma,-1,3,4,15,7875,8686,919,35.75,0,0.8
EG,Arteezy,Ember Spirit,2,8,6,15,14987,13951,0,0,0,1.3
